음식명,총내용량,열량(kcal)(1회제공량당),탄수화물(g)(1회제공량당),단백질(g)(1회제공량당),지방(g)(1회제공량당),당류(g)(1회제공량당),나트륨(mg)(1회제공량당),콜레스테롤(mg)(1회제공량당),포화지방산(g)(1회제공량당),트랜스지방(g)(1회제공량당)
아소로바이오 유기농 7 벤타글리띠,30,45,4.5,0.6,2.7,1.5,45,0,,0
아소로바이오 유기농 미니 멜로디,30,42.9,5.4,0.6,2.1,2.2,5.4,0,,0
아소로바이오 유기농 칸투치니 아몬드,30,39,6,0.9,1.2,1.8,10.8,3,,0.15
아소로바이오 유기농 칸투치니 초콜릿 드롭스,30,31.8,6,0.6,0.6,1.8,9,3,,0.15
아스파라거스 모양 비스킷,30,42.6,6.3,0.9,1.5,2.07,31.5,0.6,,0.15
아쏠레떼 페이스트리,30,46.67,5,0.67,2.67,1.67,41.67,0,,0.17
아오노리 센베이,30,36.3,7.8,0.6,0.3,3.6,34.2,1.5,,0
아이 칸투치니 아몬드쿠키,30,36,5.7,0.9,1.2,3,12,4.5,,0
아이셔,10,46.08,9.46,0,0.91,0.56,1.53,0.18,,0
아이스콘,30,44.25,6.15,0.45,2.1,1.95,12.75,0.75,,0
아주끼 모나카,30,30,6.82,0.55,0,4.36,1.36,0,0,0
아주끼 모나카,30,28.29,6.69,0.51,0,4.11,0,0,0,0
아즈끼 모나카,30,27.27,6.27,0.55,0,5.73,0,0,0,0
아지(味)고노미,30,39,6.3,1.2,0.9,2.1,108,1.5,,0
아지고노미 크래커,30,39,6,1.2,1.05,5.7,36,1.5,,0
아지고코로 모나카,30,27.3,6.42,0.32,0.04,1.8,1.2,0,0,0
아지고코로 모나카,30,28.8,6.6,0.6,0,6,12,0,0,0
아지노 코다와리,30,43.92,5.4,1.44,1.8,0.64,42.48,0,,0
아지와이이치방,30,42.75,5.4,1.8,1.58,2.7,81,0,,0
아지요세,30,43.46,6.17,0.51,1.8,0.51,49.89,0,,0
아지즈꾸시,30,42,6.66,0.36,1.62,0.9,51.9,0,,0
아지즈쿠시,30,42,6.6,0.39,1.5,5.1,52.5,3,,0
아쿠아라이프 물고기모양 구미,10,3.5,0.9,0,0,0.6,0.75,0,0,0
아쿠아리움 캔디,10,3.53,0.87,0,0,0.75,0,0,0,0
안나 초콜릿 오렌지향 비스킷,30,43.5,6.3,0.54,1.8,2.88,36,0,,0
안나 카푸치노향 비스킷,30,43.5,6.3,0.54,1.8,2.52,54,0,,0
안티카까장,30,30.53,4.61,1.08,0.86,0.65,53.28,0,,0
알렌스 버터필드 슈스트링 포테이토 스틱,30,52.5,4.88,0.56,3.38,0,46.88,0.94,,0.19
알로에 푸딩 리치맛,100,96,21,0.5,0.5,17.78,25,0,,0
알로하 망고푸딩,100,90,19,0.5,0.5,17.78,30,0,,0
알바네제 딸기향 바나나향 구미링,10,3,0.75,0.05,0,0.6,0.25,0,0,0
알바네제 꽃모양 구미,10,3,0.73,0.05,0,0.6,0.25,0,0,0
알바네제 나비모양 구미,10,3,0.73,0.05,0,0.6,0.25,0,0,0
알바네제 미니 나비모양 구미,10,3,0.73,0.05,0,0.6,0.25,0,0,0
알바네제 베어 포도향 구미,10,3,0.73,0.05,0,0.64,0.25,0,0,0
알바네제 복숭아향 구미링,10,3,0.75,0.05,0,0.5,0.25,0,0,0
알바네제 사과향 구미링,10,3,0.75,0.05,0,0.6,0.25,0,0,0
알바네제 사워 포퍼 구미,10,3,0.75,0.05,0,0.6,0.25,0,0,0
알바네제 사워웜즈 구미,10,3,0.75,0.05,0,0.6,0.25,0,0,0
알바네제 산딸기향 구미링,10,3,0.75,0.05,0,0.6,0.25,0,0,0
알바네제 수박향 구미링,10,3,0.75,0.05,0,0.6,0.25,0,0,0
알바네제 어쏠티드 곰모양 구미,10,3,0.75,0.05,0,0.6,0.25,0,0,0
알바네제 와일드 제트모양 구미,10,3,0.73,0.05,0,0.6,0.25,0,0,0
알밤캔디,30,389.73,96.76,0.08,0.56,5.09,2.98,0,0,0
알새우칩,30,46,6,0.2,2.4,0.77,72,0,,0
알토이드 페퍼민트 캔디,10,5,1,0,0,0.75,0,0,0,0
알파콘,30,40.86,6.93,0.45,1.26,0.06,0,0,,0
알피 데오캔디,10,2.33,0.97,0,0,0.75,0,0,0,0
애비 사쿠사쿠,30,36.6,7.05,0.99,0.48,0.23,73.5,0,0,0
애비 우수야키,30,38.57,7.36,0.58,0.77,0.9,48.21,0,,0
애프리 쿠어,30,49.05,3.81,0.68,3.46,0.16,38.7,0.45,,0.01
애프리 퀴시,30,51.75,4.05,0.63,3.68,0.01,40.5,0.45,,0.01
애플 씬,30,41.4,6.84,0.5,1.58,3.6,36,5.4,,0.07
애플 스트루델,30,42.63,5.92,0.47,1.89,3.32,27.24,0,,0
애플젤리,10,0.61,0.15,0,0,0.6,1.15,0,0,0
애플쨈쿠키,30,39.13,6.26,0.39,1.25,1.18,9.78,1.95,,0
애플파이 쿠키,30,42.3,6.07,0.45,1.8,3.6,20.7,0,,0
애플피오나,100,126.39,26.3,0.14,2.29,25,0.75,0,,0
애플향 태피,10,3.93,0.79,0,0.07,0.5,6.07,0,,0
앤더슨 프리첼 울트라씬,30,31.15,6.58,0.69,0.17,0,96.92,0,0,0.17
앤더슨 프리첼 팝콘스타일,30,31.15,6.23,0.69,0.35,0,96.92,0,0,0.17
앤더슨 프리첼 피넛버터,30,42.75,4.95,1.35,2.03,0.45,94.5,0,,0.22
앤더슨 프리첼 허니밀,30,34.62,7.27,0.69,0.17,1.38,51.92,0,0,0.17
앤지스 케틀콘 스위트엔 솔티,30,48.21,5.79,0.32,2.57,2.57,35.36,0,,0.16
야끼 캐슈너트,30,46.8,5.1,1.2,2.4,0.9,33,0,,0
야미얼스 유기농 사탕 12.3온즈 백,10,4.12,1,0,0,0.75,0,0,0,0
야미얼스 유기농 사탕 13온즈 백,10,4.12,1,0,0,0.75,0,0,0,0
야미얼스 유기농 사탕 5파운드백,10,4.12,1,0,0,0.75,0,0,0,0
야미얼스 유기농 사탕 6온즈 빈스,10,3.68,0.89,0,0,0.75,0,0,0,0
야채크래커,30,45.9,5.76,0.63,2.25,0.77,45.9,0.03,,0.01
야채타임 딥,30,41.17,4.5,0.39,2.4,0.9,72,0,,0
얀얀 딸기맛,30,46.8,5.94,0.54,2.34,2.52,31.32,0.47,,0.04
얀얀 바닐라향,30,47.88,5.58,0.72,2.52,2.52,48.6,0,,0
얀얀 초콜릿맛,30,47.7,5.94,0.72,2.34,2.34,32.76,0.56,,0.04
양파깡,30,47.25,5.85,0.45,2.47,0.4,51.75,0,,0
양파링 HOT&SPICY,30,43.5,6.3,0.45,1.95,2.7,63,0,,0
양파링 오리지날,30,42.75,6.07,0.45,2.03,0.6,58.5,0,,0
어니언&차이브 트위스트,30,44.7,4.8,1.08,2.31,0.3,72,0,,0
어소티드 과일향 랄리팝,10,4,1,0,0,0.75,0,0,0,0
어솔티드 비스킷,30,40.89,5.91,0.26,1.8,2.4,392.4,0,,0
어솔티드 버터오트맛 쿠키,30,48,6,0.6,2.4,2.1,33,1.5,,0
어솔티드 쇼트브래드,30,48,6,0.6,2.4,2.1,33,1.5,,0
어썸 너겟 버라이어티 6팩,10,3.41,0.86,0,0,0.6,2.94,0,0,0
어썸 너겟 버라이어티팩,10,3.06,0.76,0,0,0.6,0.59,0,0,0
어쏘티드 롤리 팝,10,4,0.75,0,0.15,0.75,2,0.5,,0
어쏘티드 리틀 팝,10,4.29,0.71,0,0.14,0.75,2.14,0.36,,0
어쏘티드 터키쉬 딜라이트,10,4.08,0.9,0.02,0.05,0.6,0,0,,0
어쏠티드 요거트푸딩,100,114.29,25.71,1.43,0,17.78,85.71,0,0,0
엄마쿠키,30,39.38,5.25,0.38,1.88,2.25,15,3.75,,0.3
에그 보로 비스킷,30,34.71,8.36,0.13,0.06,4.5,1.93,0,0,0
에다마메스낵,30,41.04,6.41,0.86,1.33,0.07,61.2,0,,0
"에디아르 다섯가지맛(버터,바닐라,살구,라즈베리,패션후르츠)캬라멜",10,3.9,0.55,0.02,0.12,0.45,2.7,0,,0
에브리씽 플렛브레드 크리스프,30,37.29,5.4,1.29,1.18,0,69.43,0,0,0
에비우스야키,30,38.57,7.36,0.58,0.77,0.68,48.21,0,,0
에비코마루,30,34.29,8.23,0.14,0.09,1.22,0.14,0,0,0
에비피나,30,43.93,5.57,1.07,1.93,5.36,33.86,1.07,,0
엑스.오 커피 캔디,10,4.29,0.86,0,0.07,0.75,0,0.36,,0
엑스.오 커피맛 캔디 161g,10,4.29,0.86,0,0.07,0.75,0,0.36,,0
엑스오 버터 캔디,10,4.38,0.86,0,0.09,0.71,2.86,0.36,,0
엑스오 커피 캔디,10,4.36,0.93,0,0.08,0.75,0,0.04,0,0
엑스트라버진 올리브 오일 앤드 씨 쏠트 크래커,30,35.4,5.7,0.87,1.05,0.12,198,0,,0
엔트리 엘,30,47.73,5.73,0.55,2.45,3,45,0,,0.08
엘 사브로소 또띠아 칩,30,45,4.82,0.64,2.57,0,54.64,0,,0
엘고리아가 딸기크림 비스킷,30,43.8,6.24,0.54,1.8,2.64,18,0,,0
엘고리아가 바닐라크림 비스킷,30,44.4,6.48,0.54,1.8,2.64,18,0,,0
엘고리아가 초콜릿크림 비스킷,30,42.6,6.24,0.6,1.68,2.7,15,0,,0
엘디 세트,30,52.2,4.71,0.6,3.11,2.84,10.71,6.84,,0.05
엘리건트 앤 잉글리쉬 바닐라 앤 크림 비스킷,30,46.33,6.33,0.33,2.17,2.33,18,5,,0
엘리건트 앤 잉글리쉬 진저 앤 레몬 비스킷,30,41.33,5.67,0.33,2,2.33,18,5,,0
엘리건트 앤 잉글리쉬 초콜렛 앤 라즈베리 비스킷,30,46.33,6.33,0.33,2.17,2.33,18,5,,0
엘비 세트,30,51.03,5.09,0.59,3.14,3.37,10.26,6.57,,0.05
엠. 와이. 썬 스카이플렉스 크레커,30,43.2,5.76,0.72,1.8,0,61.2,0,,0
엠.와이.썬 그레이엄 하니,30,39.6,7.2,0.72,0.9,1.8,43.2,0,,0
엠.와이.썬 스카이플렉스 크레커,30,43.2,5.76,0.72,1.8,0,61.2,0,,0
엠.와이.썬 스카이플렉스 크레커,30,41.4,5.7,0.6,1.8,0.9,61.2,0,,0
엠삥쁘다스,30,28.5,3.75,0.3,1.2,0.3,45,0,,0
엠씨 아몬드 크랜베리바,30,33.43,6.43,0.51,0.77,2.83,3.86,0,0,0
엠씨 아몬드바,30,36,5.66,0.77,1.29,2.06,3.86,0,0,0
엠씨 캐슈 크랜베리바,30,33.43,6.69,0.51,0.77,2.83,3.86,0,,0
엠씨 프로틴 아몬드바,30,33.43,5.66,1.54,0.9,2.31,2.57,0,0,0
엠씨 프로틴 캐슈바,30,33.43,5.91,1.54,0.9,2.31,2.57,0,,0
엠씨 피칸바,30,36,6.43,0.51,1.16,2.06,3.86,0,0,0
엠씨 화이버 아몬드바,30,30.86,7.2,0.51,0.77,1.54,0,0,0,0
엠씨 화이버 캐슈바,30,30.86,7.2,0.51,0.77,1.54,0,0,0,0
엠핑굴리,30,29.09,4.68,0.72,0.9,0.18,53.28,0,,0
엠핑굴리,30,29.1,4.68,0.72,0.9,0.18,53.4,0,,0
역사 모나카,30,27.6,6,0.6,0.3,3.6,0,0,0,0
연근칩,30,45.95,5.68,0.4,2.42,0.19,132.39,0,,0.01
연자칩,30,48,4.5,1.2,2.4,0,1.5,0,0,0
열풍으로 퍼핑한 팝콘,20,20.29,2.37,0.36,1.12,0.15,24.7,0.16,,0.01
염맛사탕,10,3.82,0.94,0,0,0.75,5.18,0,0,0
염맛사탕,10,3.84,0.96,0,0,0.75,5.2,0,0,0
예감 60g,30,44.23,5.92,0.39,2.11,1.05,45.4,0,,0.01
오가닉 라스베리 앤 블루베리 라이스 스낵,30,35.28,7.56,0.65,0.25,1.3,0,0,,0
오가닉 애플 라이스 스낵,30,33.84,7.56,0.61,0.25,1.15,0,0,,0
오가닉 캐럿 앤 토마토 라이스 스낵,30,35.28,7.2,0.79,0.25,0.54,0,0,,0
오가닉스 유기농 곡물 비스킷,30,42.12,6.01,0.52,1.67,1.3,27,0,,0
오가닉스 유기농 당근 & 토마토 라이스,30,35.46,7.34,0.79,0.25,0.52,0,0,,0
오가닉스 유기농 동물모양 비스킷,30,38.52,6.12,0.65,1.22,1.44,0,0,,0
오가닉스 유기농 라즈베리 & 블루베리 라이스,30,35.1,7.54,0.65,0.25,1.31,0,0,,0
오가닉스 유기농 미니치즈 크래커,30,41.4,5.89,1.08,1.44,0.36,0,0,,0
오가닉스 유기농 바나나 라이스,30,35.82,7.63,0.63,0.25,0.88,0,0,,0
오가닉스 유기농 바나나 비스킷,30,40.5,6.03,0.74,1.39,1.78,27,0,,0
오가닉스 유기농 사과 라이스,30,33.84,7.65,0.63,0.23,1.13,0,0,,0
오가닉스 유기농 사람모양 비스킷,30,38.88,6.26,0.65,1.15,1.62,0,0,,0
오감자 스윗칠리 딥,30,40.1,5.06,0.26,2.11,1.03,54.27,0.06,,0.02
오감자 양념바베큐 딥,30,40.17,5.08,0.28,2.1,0.79,47.86,0.06,,0.02
오감자,30,98.25,10.98,0.68,5.8,0.18,89.1,0.16,,0.06
오곡 비스킷,30,40,6.5,0.85,1.2,6,60,0,,0
오띠미니,30,44.64,6.48,0.65,1.8,2.47,16.2,3.96,,0
오띠미니 리조 앤 메이스,30,42.84,6.3,0.61,1.75,3.34,21.06,3.42,,0
오띠미니 아몬드,30,42.12,5.76,0.72,1.8,1.98,14.4,4.32,,0
오띠미니 카카오,30,43.2,6.12,0.54,1.8,2.25,13.5,3.24,,0
오레오,30,41.62,6.24,0.45,2.03,5.82,41.62,0,0,0
오레오 비츠 바닐라 샌드위치,30,44.1,6.3,0.5,1.89,2.7,45.45,0,,0
오레오 아이스크림향 초코 샌드위치쿠키,30,43.45,6.52,0.31,1.86,3.37,58.97,0,,0
오레오 아이스크림향 쿠키,30,43.45,6.52,0.31,1.86,3.37,58.97,0,,0
오레오 초코 샌드위치쿠키,30,43.45,6.21,0.31,1.86,1.1,43.45,0,,0
오레오 초코 샌드위치쿠키 초코크림,30,43.45,6.21,0.31,1.86,3.37,43.45,0,0,0
오레오 초코렛크림 쿠키,30,43.45,6.21,0.31,1.86,3.37,38.79,0,,0
오레오 초콜릿 샌드위치 쿠키,30,43.45,6.21,0.31,1.86,3.37,43.45,0,,0
오레오 초콜릿 샌드위치 쿠키 초콜릿크림,30,43.45,6.21,0.31,1.86,3.37,43.45,0,,0
오레오 초콜릿 샌드위치 쿠키 미가방,30,44.39,6.53,0.35,1.87,1.1,34.42,0.03,,0.01
오레오 쿠키,30,43.45,6.46,0.31,1.86,3.37,43.45,0,,0
오레오 크림 샌드위치 쿠키,30,45,6.33,0.45,1.91,2.95,43.68,0,,0.03
오레오 팩,30,45,6.19,0.56,1.97,4.5,42.19,0,,0.37
오렌지 구미100,10,3.22,0.75,0.04,0,0.6,0.3,0,0,0
오렌지 샤베트,100,100,25,0,0,19,15,0,0,0
오렌지 크림 샌드위치 비스킷,30,42.19,6.19,0.56,1.69,1.97,49.5,0.06,,0
오렌지 푸딩,100,87.5,20,0,0,17.78,37.5,0,0,0
오렌지맛 캔디,10,3.75,0.94,0,0,0.75,1.25,0,0,0
오렌지향 크림향 태피,10,3.93,0.79,0,0.07,0.5,6.07,0,,0
오렌지향 태피,10,3.93,0.79,0,0.07,0.5,6.07,0,,0
오리 미소 센베이,30,37.5,7.2,0.9,0.51,1.8,39,0.6,0,0
오리노 쎄삼&허니,30,32.28,2.35,1.17,2.35,1.96,1.96,0,,0
오리지널 밀 크레커,30,46.8,6.12,0.72,2.16,0.36,50.4,0,,0
오리지널 쇼트브래드,70,258.36,30.74,2.45,14.48,10.47,155.91,35.64,,0
오리지널 칼스배드 오브라텐 레몬,30,20.89,3.86,0.64,0.32,0.64,3.21,3.21,,0
오리지널 칼스배드 오브라텐 바닐라 아몬드,30,20.89,3.86,0.64,0.32,0.64,3.21,3.21,,0
오리지널 칼스배드 오브라텐 초콜릿,30,20.89,3.86,0.64,0.32,2.66,3.21,3.21,,0
오리지널 칼스배드 오브라텐 카라멜,30,20.89,3.86,0.64,0.32,0.64,3.21,3.21,,0
오리지널 프리미엄 솔틴 크래커,30,39.38,6.75,0.56,0.84,0,84.38,0,0,0
오부쿠로 와사비맛 마메 그린피스,30,38.18,6,1.64,0.9,4.91,49.09,0,0,0
오부쿠로 와사비맛 마메 잠두,30,40.91,5.45,1.91,1.28,4.91,45,0,0,0
오부쿠로 츠마미 이치방 그린피스,30,39.55,5.73,1.64,1.09,4.64,57.27,0,0,0
오부쿠로 츠마미 이치방 바타피 피넛,30,57.27,1.64,2.18,4.64,1.36,10.91,0,,0
오부쿠로 츠마미 이치방 새우 피넛,30,47.73,4.09,1.64,2.73,3.82,31.36,0,,0
오부쿠로 츠마미 이치방 오징어 피넛,30,47.73,4.09,1.64,2.73,3.82,30,0,,0
오부쿠로 츠마미 이치방 와사비 그린피스,30,38.18,6,1.64,0.9,4.91,49.09,0,0,0
오부쿠로 츠마미 이치방 와사비 잠두,30,40.91,5.45,1.91,1.25,4.91,45,0,0,0
오부쿠로 츠마미 이치방 프라이빈스,30,39.55,5.18,1.91,1.28,4.91,30,1.36,0,0
오시마코쿠토캔디,10,3.85,0.92,0,0,0.75,3.15,0,0,0
오이쉬 리지스 포테이토 칩스 바비큐향,30,49.8,5.1,0.6,3,0,42,0,,0
오이쉬 리지스 포테이토 칩스 치즈 & 갈릭 플레이버,30,47.4,3.9,0.6,3,0.6,45,0,,0
오이쉬 리지스 포테이토 칩스 치즈향,30,49.8,5.1,0.6,3,0,42,0,,0
오이쉬 미니 양파칩,30,42.6,6.3,0.3,1.8,0.6,57.6,0,,0
오이쉬 브레드 팬 버터드토스트 플레이버,30,44.57,6,1.29,1.71,0.64,36,0,,0
오이쉬 브레드 팬 치즈 & 오니언 플레이버,30,42.86,6,0.86,1.71,0.64,54,0,,0
오이쉬 브레드 팬 토스티드 갈릭,30,33.43,5.79,0.64,0.86,0.86,45,0,,0
오이쉬 슈스트링 포테이토 플레인 솔티드,30,43.65,5.85,0,2.25,0,54,0,,0
오이쉬 오니언 링스스넥 위드 리얼 오니언,30,45,5.96,0.6,2.08,0,54,0,,0
오이쉬 오헤야 멀티그레인 스넥 치즈,30,44.7,4.5,0.6,2.7,0.3,39,0,0,0
오이쉬 오헤야 멀티그레인 스넥 프렌치 오니언,30,45.3,6,0.6,2.1,0.6,63,0,,0
오이쉬 위트닉스 모카향 쿠키,30,41.14,6.75,0.64,1.29,1.61,34.39,0,,0
오이쉬 위트닉스 바닐라향 쿠키,30,44.04,6.75,0.64,1.61,1.61,34.39,0,,0
오이쉬 위트닉스 초코 쿠키,30,43.39,6.75,0.64,1.61,1.93,36,0,,0
오이쉬 참새우 크래커,30,40.5,7.2,0.6,1.05,0.3,66,0,,0
오이쉬 초코 쇼크 스넥 스폰지,30,45,6.6,0.6,1.8,1.8,15,6,,0
오이쉬 카라멜향 팝콘,30,40.8,7.2,0.3,1.2,1.8,22.5,1.5,,0
오이쉬 크리스피 파타타 베이키드 포테이토,30,43.8,6.3,0.6,1.8,0.3,102,0,,0
오이쉬 키레이 유미 플레이크 스림프,30,36.3,7.5,0.9,0.3,2.7,31.5,0,0,0
오이쉬 포드 베지테리언 피 스넥,30,41.4,4.8,1.5,1.8,0,48,0,,0
오이쉬 포테이토 칩스 플레인 솔티드,30,48.6,4.8,0.6,3,0,45,0,,0
오이쉬 피나츄 피넛 크래커 갈릭 & 솔트,30,40.2,3.6,1.2,2.4,1.2,33,0,,0
오이쉬 피나츄 피넛 크래커 씨위드,30,40.2,3.6,1.2,2.4,1.2,33,0,,0
오이쉬 피나츄 피넛 크래커 아사도 플레이버,30,26.16,4.78,3.09,2.53,1.41,14.91,0,,0
오이쉬 포테이토프라이 치즈향,30,45.3,6,0.6,2.1,0.3,66,0,,0
오잉,30,43.65,6.39,0.45,1.8,0.6,54,0,,0
오징어 가득 센베이,30,42.6,4.29,1.92,1.5,0.9,87.3,0.75,,0
오징어땅콩,30,45,5.67,0.9,2.07,1.27,30.6,0,,0
오징어땅콩,30,45,4.8,1.5,2.1,0.9,25.5,0,,0
오징어땅콩 숯불구이맛,30,40.5,5.76,1.08,1.98,1.27,36.9,0,,0
오징어집,30,84.79,10.12,1.19,4.46,0.45,80.33,0.82,,0
오징어해씨,30,40.5,6.6,0.9,1.05,2.4,27,1.5,,0
오츠마미 파이브 그린빈스,10,4.41,0.65,0.18,0.12,0.12,6.47,0,0,0
오츠마미 파이브 믹스,10,5.29,0.53,0.24,0.24,0.12,3.53,0,,0
오츠마미 파이브 바타피,10,6.47,0.18,0.24,0.53,0.18,1.18,0,,0
오츠마미 파이브 우스피,10,5.88,0.29,0.24,0.41,0.06,1.47,0,,0
오츠마미 파이브 프라이빈스,10,4.71,0.59,0.24,0.16,0.18,2.94,0.12,0,0
오카키 모치,30,40.5,6.6,0.6,1.26,0.3,72,0,0,0
"오코노니요깡 렌요깡, 고쿠로요깡, 말차요깡",50,70,16.88,0.62,0,12.5,0,0,0,0
오코노니요깡 시오요깡,50,70,16.88,0.62,0,12.5,40.62,0,0,0
오코노미 센베이,30,36,7.8,0.6,0.3,3.9,27,3.9,,0
오코노미 모나카,30,29.32,6.68,0.58,0.12,1.74,1.74,0,0,0.15
오코노미요깡,50,70,16.88,0.62,0,12.5,108.12,0,0,0
오코노미요캉 녹차맛 양갱,50,71.88,17.06,0.81,0.06,15,0.62,0,0,0
오코노미요캉 련 양갱,50,71.88,16.69,0.88,0.19,14.38,0.62,0,0,0
오코노미요캉 밤맛 양갱,50,68.75,16.5,0.75,0,14.38,1.25,0,0,0
오코노미요캉 소금맛 양갱,50,71.88,16.69,0.88,0.06,14.38,40,0,0,0
오코노미요캉 소창 양갱,50,71.88,16.75,0.88,0.06,14.38,0.62,0,0,0
오키,30,43.27,6.23,0.69,1.73,2.08,10.38,0,,0
오트 25 딸기,30,45.36,5.94,0.58,2.16,1.8,21.6,0,,0
오트 25 텐 그레인,30,45.36,5.76,0.72,2.16,1.8,18,0,,0
오트 크리스피 초코,30,34.2,6.84,0.72,0.47,0.25,34.2,0,,0
오트밀 라이신 쿠키,30,40,6,0.5,1.5,2.5,40,0,,0
오트플레이크 앤 레이진 쿠키,30,42.3,5.31,0.45,2.12,1.46,31.5,0,,0
오히리 14 후꾸로 아지노코다와리,30,45.72,5.04,1.44,2.16,0.72,46.8,2.16,0,0
오히리 14 후꾸로 키따우미노아지,30,46.64,4.91,1.23,2.45,0.41,39.68,0.41,0,0
스위트콘,100,132,29,3.7,0.1,7.78,330,0,0,0
올 브란,30,30.06,4.32,1.26,0.31,1.53,54,0,,0
올드엘파소 타코디너킷,30,27.18,3.51,0.39,1.24,0.62,83.7,0,,0
올리브 오일 크래커,30,30,5.1,0.9,0.75,0.6,66,0,0,0
올리브오일 그리신,5,1.02,0.17,0.03,0.03,0,1.75,0,0,0
올리브오일앤로즈마리 크래커,30,39.6,6.48,1.08,1.08,0.36,36,0,,0
올인원,30,52.2,3.3,1.2,3.9,0.3,46.8,0,,0
와글와글 코코몽,30,39.41,7.3,0.64,0.85,3.07,20.41,0,,0
와레 오꼬노미 믹스,30,38.45,6.38,0.98,0.98,2.95,52.36,0,,0
와사비 그린피스,30,36,6.12,1.44,0.72,0.72,61.2,0,,0
와사비 마메,30,38.4,6,1.5,0.9,4.8,49.5,0,,0
와사비 완두콩,30,35.13,5.28,1.27,0.99,1.34,88.39,0,,0
와사비 피스타치오,30,45.72,5.1,1.2,2.4,4.8,21.6,0,,0
와사비 그린마메,30,38.18,6,1.64,0.9,4.91,49.09,0,0,0
와사비 그린마메,30,38.18,6,1.64,0.9,4.91,49.09,0,0,0
와사비마메,30,38.18,6,1.64,0.9,4.91,49.09,0,0,0
와사비마메,30,38.7,6.04,1.48,0.94,1.29,63,0,,0
와사비마메 와사비그린마메,30,38.25,5.85,1.35,0.9,1.35,49.5,0,0,0
와사비마메 와사비그린마메,30,38.18,6,1.64,0.9,1.35,49.09,0,0,0
와사비마메 와사비빈스,30,40.91,5.45,1.91,1.28,1.35,45,0,0,0
와사비맛 차야 와사비그린마메,30,38.18,6,1.64,0.9,4.91,49.09,0,0,0
와사비맛 차야 와사비빈스,30,40.91,5.45,1.91,1.28,4.91,45,0,0,0
와사비맛 그린피스 스낵,30,38.1,6,1.5,0.9,1.2,48,0,0,0
와사비빈스,30,40.91,5.45,1.91,1.28,4.91,45,0,0,0
와사비빈스,30,40.91,5.45,1.91,1.28,4.91,44.73,0,0,0
와사비 완두,30,38.1,3.3,0.81,1.44,3,54,0,0,0
와사비 완두콩,30,35.73,6.62,1.21,0.49,1.51,101.16,0,,0
와사비자야 와사비그린마메,30,38.57,6,1.71,0.9,1.29,49.29,0,,0
와사비자야 와사비빈스,30,39.86,5.14,1.71,1.29,1.29,45,0,,0
와사비 카키피,30,42.63,5.92,1.18,1.66,0,40.97,0,0,0
와사비 푸미,30,44.38,4.66,1.55,2.17,0.31,65.17,0,,0
와삭바,100,65,16,0,0,13,0,0,0,0
와수카 초코렛 비스킷,30,48,6.6,0.6,1.8,4.2,6,0,0,0
와수카 치즈 비스킷,30,45,6.6,0.6,1.5,3.6,33.6,0,0,0
와인검 캔디젤리,10,3.45,0.57,0.05,0,0.6,0.5,0,0,0
와일드 베리향 캔디,10,3.93,1,0,0,0.75,0.36,0,0,0
와코도 스틱과자 군고구마스틱,30,45.31,6.18,0.53,2.17,2.14,11.79,0.81,,0
와코도 스틱과자 치즈스틱,30,38.86,6.46,0.94,1.02,1.15,24.14,0.98,,0
와코도 스틱과자 호박쿠키,30,44.69,6.14,0.56,1.86,1.68,9.93,0,,0
와퍼 마스터 필드 위드 딸기향 크림,30,43.58,6.16,0.47,1.89,3.36,8.29,0.31,,0
와퍼 마스터 필드 위드 바닐라향 크림,30,43.11,5.92,0.62,1.89,3.84,10.66,0.95,,0
와펠쿠겐 로크포트아트,30,52.8,4.2,0.9,3.6,1.5,135,1.5,,0
와펠쿠겐 쯔비벨,30,51.6,3.9,0.9,3.6,1.5,36.9,1.5,,0
와펠쿠겐 찌겐케제아트,30,50.1,4.2,0.9,3.3,1.8,43.2,1.5,,0
와플 콘,100,433.33,86.67,6.67,6.67,18.16,240,0,0,0
완두콩과자,30,24.6,0.6,1.65,1.8,0.6,76.5,0,,0
왈코스낵,30,38.25,6.3,0.45,1.35,1.35,51.75,0,,0
왕고래밥 매콤,30,70.84,12.2,1.12,2.08,0.31,96.64,0.42,,0.05
왕고래밥 볶음,30,70.74,12.15,1.13,2.05,0.87,107.26,0.27,,0.03
왕산도마롱,30,158.13,20.91,1.74,7.5,2.34,91.73,1.81,,0.15
왕자과자,30,15.9,3.6,0,0,1.2,2.7,2.1,0,0
왕짱구,30,46.5,5.7,0.6,2.4,1.2,19.5,0,,0
"외코비탈 바이오 과일맛 스틱, 강한 신맛",10,3.35,0.75,0.04,0,0.6,0.05,0,0,0
외코비탈 베어,10,3.22,0.75,0.05,0,0.6,0,0,0,0
외코비탈 비타미노 프루티,10,3.24,0.75,0.05,0,0.6,0,0,0,0
요거트 뮤즐리바,30,40.8,4.92,0.93,1.92,2.19,6.3,0,,0
요거트 뮤즐리바 딸기맛,30,40.8,6.3,0.3,1.5,3,11.7,0,,0
요거트 뮤즐리바 사과맛,30,40.8,6.3,0.3,1.5,3,11.7,0,,0
요거트 뮤즐리바 체리맛,30,40.8,6.3,0.3,1.5,3,11.7,0,,0
요거트향 캬라멜 위드 망고향,30,36.69,7.62,0,0.69,5.54,15.92,0,,0.14
요거트향 캬라멜 위드 멜론향,30,36.69,7.62,0,0.69,5.54,15.92,0,,0.14
